# Cities,Seed,Running time (sec.),Cost of best tour found (*=optimal),Max # of stored states at a given time,# of BSSF updates,Total # of states created,Total # of states pruned
132,1,0.7197539806365967,42764,,1,,
133,1,0.7332861423492432,41149,,1,,
134,1,0.7562851905822754,43936,,1,,
135,1,0.7928469181060791,44763,,1,,
136,1,0.8085079193115234,45148,,1,,
137,1,0.7744927406311035,42298,,1,,
138,1,0.8815221786499023,43108,,1,,
139,1,0.8088767528533936,43472,,1,,
140,1,0.8794779777526855,44677,,1,,
141,1,0.9004130363464355,44458,,1,,
142,1,0.8834729194641113,47418,,1,,
143,1,0.9045419692993164,45188,,1,,
144,1,0.9130802154541016,43069,,1,,
145,1,0.9833219051361084,43587,,1,,
146,1,0.9902589321136475,44752,,1,,
147,1,1.0626897811889648,47993,,1,,
148,1,1.0775139331817627,46703,,1,,
149,1,1.131392002105713,46044,,1,,
150,1,1.146132230758667,43413,,1,,
151,1,1.067770004272461,47758,,1,,
152,1,1.4302830696105957,47750,,1,,
153,1,1.2870159149169922,43877,,1,,
154,1,1.2261221408843994,48079,,1,,
155,1,1.243311882019043,47122,,1,,
156,1,1.2227349281311035,45999,,1,,
157,1,1.2422339916229248,47863,,1,,
158,1,1.262005090713501,45586,,1,,
159,1,1.3446400165557861,48361,,1,,
160,1,1.5493018627166748,48857,,1,,
161,1,1.5386970043182373,48727,,1,,
162,1,1.4636237621307373,49559,,1,,
163,1,1.3733668327331543,49145,,1,,
164,1,1.2949721813201904,45786,,1,,
165,1,1.5930588245391846,49109,,1,,
166,1,1.4040710926055908,50230,,1,,
167,1,1.4514110088348389,50911,,1,,
168,1,1.441903829574585,51765,,1,,
169,1,1.4792919158935547,49825,,1,,
170,1,1.4883170127868652,49126,,1,,
171,1,1.5569889545440674,50077,,1,,
172,1,1.5338828563690186,54592,,1,,
173,1,1.5925986766815186,50731,,1,,
174,1,1.6631979942321777,51988,,1,,
175,1,1.7231290340423584,50630,,1,,
176,1,1.680379867553711,49057,,1,,
177,1,1.630815029144287,51977,,1,,
178,1,1.7551679611206055,51993,,1,,
179,1,1.7844936847686768,51993,,1,,
180,1,1.7613050937652588,52464,,1,,
181,1,1.9412779808044434,50775,,1,,
182,1,1.9346978664398193,51217,,1,,
183,1,1.9623808860778809,52184,,1,,
184,1,2.0231621265411377,51477,,1,,
185,1,2.0444107055664062,52036,,1,,
186,1,2.08417010307312,55087,,1,,
187,1,2.0911219120025635,53908,,1,,
188,1,2.0797669887542725,55375,,1,,
189,1,2.0755608081817627,53655,,1,,
190,1,2.067408800125122,51403,,1,,
191,1,2.1449058055877686,50322,,1,,
192,1,2.2228689193725586,50748,,1,,
193,1,2.1969408988952637,54417,,1,,
194,1,2.2801966667175293,55037,,1,,
195,1,2.2835071086883545,53039,,1,,
196,1,2.3472208976745605,52264,,1,,
197,1,2.388498306274414,53520,,1,,
198,1,2.4107320308685303,53111,,1,,
199,1,2.465893030166626,55318,,1,,
200,1,2.488212823867798,55594,,1,,
